[0727/221024.262:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6784001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221024.411:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6784001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221024.456:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6784001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221024.496:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6784001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0727/221434.373:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1b3c001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221434.521:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1b3c001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221434.567:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1b3c001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221434.607:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x1b3c001b7c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0727/221507.811:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ce4001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221507.961:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ce4001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221508.007:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ce4001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221508.048:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6ce4001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0727/221538.225:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x348c001bca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221538.372:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x348c001bca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221538.416:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x348c001bca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221538.458:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x348c001bca00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0727/221811.883:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x66ec001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0727/221812.034:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x66ec001bd600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215313.973:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x411c001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215314.129:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x411c001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215314.142:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x411c001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215314.181:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x411c001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/215333.011:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5924001b3800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215333.166:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5924001b3800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215333.194:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5924001b3800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215333.242:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x5924001b3800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/215336.142:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6954001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215336.294:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6954001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215336.330:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6954001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215336.379:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6954001ba800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/215646.820:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b4001bee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215646.970:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b4001bee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215647.002:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b4001bee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/215647.050:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x3b4001bee00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/220139.982:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ec001b8200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220140.130:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ec001b8200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220140.164:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ec001b8200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220140.209:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x9ec001b8200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/220202.062:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x13ac001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220202.213:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x13ac001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220202.245:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x13ac001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220202.288:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x13ac001bdc00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0728/220359.987:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d6c001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220400.140:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d6c001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220400.173:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d6c001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0728/220400.222:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d6c001bfa00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0729/095911.710:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76dc02b90000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095911.879:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76dc02b90000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095912.880:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76dc02b90000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095913.013:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x76dc02b90000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0729/095945.432:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d9c001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095945.583:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d9c001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095948.676:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d9c001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/095948.923:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4d9c001bc400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0729/100125.034:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x35f4001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/100125.186:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x35f4001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/100126.115:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x35f4001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0729/100126.264:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x35f4001b7400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0802/090034.782:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6054001bb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090034.934:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6054001bb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090034.978:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6054001bb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090035.024:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6054001bb800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0802/090249.154:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc44001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090249.308:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc44001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090249.341:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc44001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090249.401:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xc44001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0802/090316.693:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b54001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090316.843:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b54001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090316.885:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b54001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090316.926:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7b54001bbe00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0802/090413.871:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4cf4001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090414.021:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4cf4001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090414.055:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4cf4001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0802/090414.098:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x4cf4001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0802/090430.132:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x577c001bb200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
